country	fiscal	ratecut	macrofin	othermonetary	bopgdp	otherbop	totalcases	medage	gdppercapitaconstant2010us	currenthealthexpenditureofgdpshx	hospitalbed	stringency	infectionrate	CESI_INDEX
Afghanistan	0.13369	0	0	0	0	0	174	18	563.826	10.2	0.5		4.47E-06	-1.595404
Albania	1.3	50	0	1	0	0	243	36	5079.4	6.7	2.9		0.0000844	0.579262
Algeria	-7.2	13.57	0	0	6	0	584	29	4764.38	6.65	1.9		0.0000133	-4.251894
Angola	0	0	0	0	0	0	7	17	3229.62	2.88	0.8		2.13E-07	-1.616932
Argentina	1	5	0	1	0.224483	0	966	32	10043.5	7.55	5	43	0.0000214	-0.3473316
Armenia	0	4.55	0	0	0	0	532	35	4406.71	9.93	4.2		0.0001795	-1.534638
Australia	9.7	0.666667	4.70852	1	0	0	4557	38	56842.3	9.25	3.8	67	0.0001787	1.68941
Austria	17.8	0	7.31092	1	0	0	9772	43	50019.9	10.44	7.6	95	0.001085	3.3408
Azerbaijan	1.008	11.36	0	1	0	1	273	32	5768.99	6.89	4.7		0.0000269	-0.5727305
Bahamas	0.2	0	0	1	0	0	14	32	27261.2	6.38	2.9		0.0000356	-0.5021932
Bahrain	5.3	52.2685	26	1	0	0	515	32	21438.4	4.87	2		0.0003027	4.852641
Bangladesh	0.008357	7.27273	0	1	0	0	49	28	1203.22	2.37	0.8		2.98E-07	-0.4015134
Barbados	1.4	0	0	1	0	0	34	40	16018	6.96	5.8	10	0.0001183	-0.308965
Belarus	0	0	0	1	0	1	152	40	6744.5	6.32	11		0.0000161	-0.9405059
Belgium	12.3	0	7.31092	1	0	0	12775	42	47166.5	10.04	6.2	57	0.0011023	2.455171
Belize	1	0	0	1	0	0	3	25	4249	6.12	1.3	67	7.54E-06	-0.3733744
Benin	0.1	0	0.028571	1	0	0	6	19	897.199	3.86	0.5		4.95E-07	-0.5143524
Bhutan	0	0	0	0	0	0	4	28	3128	3.45	1.7		5.18E-06	-1.616932
Bolivia	0.463443	0	1.18	1	0	0	107	26	2559.51	6.86	1.1	93	9.17E-06	-0.296921
Bosnia and Herzegovina	3.25	0	0	1	0	0	411	43	6032.25	9.23	3.5		0.0001253	-0.0110715
Botswana	0.2765	0	0	0	0	0	3					19		-1.572409
Brazil	3.5	28.463	3.16957	1	1.69044	1	4661	33	11026.2	11.77	2.2	71	0.0000219	0.0904249
